,college_names,college_location,overall_score,acceptance_rate,Est_full_price_22_23,Est_price_with_avg_grant,percent_of_student_who_get_grants,graduation_rate,early_career_earnings,avg_price_for_low_income_students,median_sat_act_score,sat_act_required,undergrad_enrollment,percent_of_students_with_need_who_get_grants,percent_of_need_met,percent_of_students_who_get_merit_grants,avg_merit_grant,avg_time_to_a_degree,median_student_debt,percent_earning_more_than_a_high_school_grad
0,University of Michigan,"Ann Arbor, MI","
                  89.41
              ","
                  23%
              ","
                  $32,400
              ","
                  $18,800
              ","
                  53%
              ","
                  92%
              ","
                  $75,840
              ","$2,670",1440/33,No,"31,050",81%,92%,11%,"$5,670",4.2 years,"$18,526",81%
1,University of North Carolina at Chapel Hill,"Chapel Hill, NC","
                  86.22
              ","
                  23%
              ","
                  $25,200
              ","
                  $10,600
              ","
                  53%
              ","
                  89%
              ","
                  $61,920
              ","$3,750",1410/31,No,"19,010",90%,100%,5%,"$7,030",4.1 years,"$14,500",78%
2,University of Virginia,"Charlottesville, VA","
                  86.11
              ","
                  24%
              ","
                  $36,700
              ","
                  $20,100
              ","
                  48%
              ","
                  94%
              ","
                  $77,050
              ","$12,480",1430/32,No,"16,720",91%,100%,4%,"$5,630",4.1 years,"$18,250",84%
3,Massachusetts Maritime Academy,"Buzzards Bay, MA","
                  86.07
              ","
                  91%
              ","
                  $31,600
              ","
                  $18,600
              ","
                  43%
              ","
                  73%
              ","
                  $91,670
              ","$6,380",1100/22,No,"1,650",56%,71%,11%,"$5,530",4.2 years,"$26,000",91%
4,Virginia Military Institute,"Lexington, VA","
                  85.14
              ","
                  60%
              ","
                  $33,300
              ","
                  $20,000
              ","
                  85%
              ","
                  78%
              ","
                  $71,910
              ","$10,560",1180/25,No,"1,700",77%,88%,14%,"$13,100",4.1 years,"$21,500",85%
5,Georgia Institute of Technology,"Atlanta, GA","
                  84.87
              ","
                  21%
              ","
                  $30,600
              ","
                  $18,400
              ","
                  71%
              ","
                  87%
              ","
                  $88,200
              ","$8,820",1410/32,Yes,"15,170",92%,60%,34%,"$10,200",4.5 years,"$22,250",89%
6,University of Illinois at Urbana-Champaign,"Champaign, IL","
                  84.78
              ","
                  59%
              ","
                  $32,000
              ","
                  $14,300
              ","
                  61%
              ","
                  84%
              ","
                  $71,540
              ","$4,860",1340/29,No,"33,080",84%,70%,12%,"$6,600",4.2 years,"$19,500",84%
7,University of Florida,"Gainesville, FL","
                  83.65
              ","
                  37%
              ","
                  $22,000
              ","
                  $10,600
              ","
                  85%
              ","
                  88%
              ","
                  $64,460
              ",$70,1390/31,Yes,"34,520",68%,98%,7%,"$3,310",4.3 years,"$15,580",77%
8,"University of California, Irvine","Irvine, CA","
                  83.49
              ","
                  27%
              ","
                  $37,100
              ","
                  $13,800
              ","
                  69%
              ","
                  83%
              ","
                  $71,960
              ","$6,540",1300/29,No,"30,370",97%,82%,3%,"$9,230",4.2 years,"$15,060",77%
9,"University of California, Davis","Davis, CA","
                  83.13
              ","
                  39%
              ","
                  $38,700
              ","
                  $18,000
              ","
                  69%
              ","
                  86%
              ","
                  $69,770
              ","$10,010",1290/28,No,"30,960",97%,79%,4%,"$6,600",4.3 years,"$13,199",78%
10,Washington and Lee University,"Lexington, VA","
                  82.39
              ","
                  19%
              ","
                  $79,800
              ","
                  $28,700
              ","
                  61%
              ","
                  95%
              ","
                  $86,020
              ",$210,1430/33,No,"1,840",100%,100%,8%,"$40,950",4 years,"$19,500",86%
11,"University of California, San Diego","La Jolla, CA","
                  82.21
              ","
                  31%
              ","
                  $36,300
              ","
                  $16,100
              ","
                  59%
              ","
                  86%
              ","
                  $74,770
              ","$9,820",1370/30,No,"30,790",96%,83%,1%,"$10,300",4.3 years,"$16,500",79%
12,Babson College,"Wellesley, MA","
                  82.04
              ","
                  26%
              ","
                  $77,000
              ","
                  $33,300
              ","
                  43%
              ","
                  91%
              ","
                  $106,600
              ","$21,450",1360/30,No,"2,320",97%,96%,5%,"$21,910",4 years,"$22,750",85%
13,New Jersey Institute of Technology,"Newark, NJ","
                  81.81
              ","
                  73%
              ","
                  $39,700
              ","
                  $19,400
              ","
                  69%
              ","
                  65%
              ","
                  $80,040
              ","$12,780",1290/28,No,"8,130",96%,55%,10%,"$14,680",4.5 years,"$21,500",85%
14,California State University Maritime Academy,"Vallejo, CA","
                  81.79
              ","
                  76%
              ","
                  $29,200
              ","
                  $22,200
              ","
                  56%
              ","
                  61%
              ","
                  $91,460
              ","$13,470",NA/NA,No,910,83%,N/A,1%,"$6,000",4.2 years,"$25,000",85%
15,Maine Maritime Academy,"Castine, ME","
                  81.45
              ","
                  45%
              ","
                  $29,500
              ","
                  $19,800
              ","
                  67%
              ","
                  73%
              ","
                  $72,840
              ","$19,140",1110/24,No,990,72%,43%,5%,"$4,370",4.2 years,"$27,000",86%
16,University of Wisconsin-Madison,"Madison, WI","
                  81.41
              ","
                  54%
              ","
                  $27,900
              ","
                  $14,800
              ","
                  42%
              ","
                  87%
              ","
                  $65,210
              ","$3,980",1390/30,No,"31,190",77%,80%,7%,"$4,780",4.3 years,"$20,500",84%
17,"California State University, Long Beach","Long Beach, CA","
                  81.39
              ","
                  39%
              ","
                  $24,900
              ","
                  $11,200
              ","
                  72%
              ","
                  69%
              ","
                  $57,120
              ","$6,660",1150/23,No,"32,900",94%,53%,1%,"$3,640",4.7 years,"$14,882",72%
