,company_names_lst,company_code_lst,market_cap_lst,industries_for_company_lst,overall_rating,num_reviews_dist,work_life_balance,compensation_benefits,job_security_advancements,management,culture
0,Apple,AAPL,$2.379 T,"['Tech', 'Software', 'Dow jones', 'Tech Hardware', 'Electronics']",4.1,"['5.4K', '3.2K', '1.6K', '508', '379']",3.8,4.1,3.7,3.7,4.1
1,Microsoft,MSFT,$2.001 T,"['Software', 'Tech', 'Dow jones', 'Video games']",4.2,"['3.5K', '2.5K', '1.1K', '262', '154']",3.9,4.1,3.5,3.6,4.0
2,Alphabet (Google),GOOG,$1.576 T,"['Internet', 'Tech', 'Software', 'Autonomous driving']",4.3,"['2.3K', '1.1K', '486', '123', '96']",4.2,4.1,3.7,3.9,4.2
3,Amazon,AMZN,$1.175 T,"['E-Commerce', 'Internet', 'Tech', 'Retail']",3.5,"['24K', '21.8K', '19.5K', '8.9K', '10.7K']",3.3,3.7,3.1,3.1,3.3
4,Tesla,TSLA,$779.66 B,"['Automakers', 'Tech', 'Electric Vehicles', 'Bitcoin', 'Manufacturing', 'EV charging', 'Autonomous driving']",3.4,"['1.4K', '1.3K', '1.2K', '615', '679']",3.0,3.6,2.8,2.9,3.3
5,Berkshire Hathaway ,BRK-B,$619.93 B,['Investment'],4.0,"['86', '36', '32', '9', '11']",3.9,3.8,3.5,3.8,3.9
6,UnitedHealth,UNH,$486.56 B,"['Healthcare', 'Insurance', 'Dow jones']",3.6,"['5.1K', '4.9K', '3.5K', '1.5K', '1.6K']",3.6,3.5,3.2,3.2,3.5
7,Johnson & Johnson,JNJ,$469.12 B,"['Pharmaceuticals', 'Dow jones', 'Biotech']",4.2,"['3.2K', '2.2K', '799', '227', '177']",4.0,4.1,3.6,3.8,4.0
8,Meta Platforms (Facebook),META,$462.45 B,"['Tech', 'Internet']",3.7,"['11', '8', '6', '2', '3']",3.6,3.8,3.1,3.3,3.5
9,Visa,V,$430.80 B,"['Financial services', 'Dow jones']",3.9,"['389', '331', '199', '57', '55']",3.8,4.0,3.5,3.4,3.6
10,NVIDIA,NVDA,$394.68 B,"['Tech', 'Semiconductors', 'Electronics', 'Tech Hardware', 'Autonomous driving']",4.2,"['123', '80', '29', '7', '10']",3.9,4.1,3.8,3.8,4.1
11,Exxon Mobil,XOM,$362.67 B,"['Oil&Gas', 'Energy']",3.9,"['1.8K', '1.3K', '863', '294', '256']",3.7,3.7,3.4,3.6,3.6
12,Procter & Gamble,PG,$347.94 B,"['Dow jones', 'Consumer goods']",4.1,"['3.3K', '2.2K', '1K', '309', '259']",3.8,4.0,3.7,3.7,3.9
13,Walmart,WMT,$343.74 B,"['Retail', 'Dow jones', 'Supermarket Chains']",3.4,"['60.1K', '62.6K', '63.3K', '25.1K', '26.2K']",3.3,3.3,3.2,3.0,3.3
14,JPMorgan Chase,JPM,$335.88 B,"['Banks', 'Financial services', 'Dow jones']",3.9,"['6.1K', '6K', '3.5K', '1K', '877']",3.7,3.8,3.4,3.4,3.6
15,Mastercard,MA,$314.22 B,['Financial services'],4.0,"['248', '251', '119', '19', '20']",3.9,4.0,3.5,3.6,3.8
16,Eli Lilly,LLY,$313.99 B,"['Pharmaceuticals', 'Biotech']",4.1,"['869', '676', '245', '89', '64']",4.0,4.1,3.5,3.7,3.9
17,Pfizer,PFE,$298.33 B,"['Pharmaceuticals', 'Biotech']",4.2,"['3K', '1.9K', '876', '181', '191']",4.0,4.1,3.6,3.8,4.0
18,Home Depot,HD,$294.41 B,"['Retail', 'Dow jones']",3.7,"['18.4K', '18.7K', '13.7K', '4.6K', '3.9K']",3.5,3.5,3.3,3.3,3.6
19,Chevron,CVX,$280.51 B,"['Oil&Gas', 'Dow jones', 'Energy']",4.0,"['2.5K', '1.7K', '912', '314', '309']",3.9,3.6,3.4,3.6,3.8
20,Coca-Cola,KO,$273.71 B,"['Beverages', 'Dow jones']",3.9,"['3.8K', '2.9K', '1.9K', '692', '660']",3.6,3.8,3.4,3.4,3.6
21,AbbVie,ABBV,$270.10 B,"['Biotech', 'Pharmaceuticals']",3.9,"['489', '361', '225', '80', '61']",3.7,4.0,3.4,3.4,3.7
22,Bank of America ,BAC,$256.12 B,"['Banks', 'Financial services']",3.8,"['10.6K', '10.1K', '6.8K', '2K', '1.8K']",3.7,3.9,3.4,3.4,3.6
23,Pepsico,PEP,$237.65 B,['Beverages'],3.8,"['6.3K', '4.9K', '3.3K', '1.3K', '1.3K']",3.4,3.8,3.4,3.3,3.6
24,Merck,MRK,$234.62 B,"['Pharmaceuticals', 'Dow jones', 'Biotech']",4.1,"['1.9K', '1.4K', '694', '183', '125']",3.9,4.0,3.5,3.6,3.8
25,Costco,COST,$222.16 B,"['Retail', 'Supermarket Chains']",4.1,"['6.4K', '4.2K', '2K', '649', '579']",3.8,4.3,3.9,3.6,3.9
26,Thermo Fisher Scientific,TMO,$216.75 B,"['Scientific & Technical Instruments', 'Diagnostics and Testing', 'Biotech']",3.5,"['913', '1.2K', '865', '421', '408']",3.3,3.4,3.0,3.0,3.2
27,Verizon,VZ,$212.03 B,"['Telecommunication', 'Dow jones']",3.9,"['10.4K', '9.9K', '6.1K', '1.8K', '1.5K']",3.5,4.1,3.4,3.4,3.6
28,Broadcom,AVGO,$201.37 B,"['Semiconductors', 'Tech']",3.8,"['244', '322', '155', '51', '52']",3.6,3.9,3.2,3.3,3.5
29,Danaher,DHR,$191.77 B,['Conglomerate'],3.6,"['301', '351', '251', '95', '81']",3.4,3.6,3.1,3.1,3.4
30,Oracle,ORCL,$191.52 B,"['Tech', 'Software']",3.8,"['1.9K', '2.4K', '1.5K', '465', '252']",3.9,3.6,3.4,3.4,3.6
31,Abbott Laboratories,ABT,$191.30 B,['devices'],3.9,"['2.2K', '1.8K', '919', '309', '322']",3.7,3.9,3.4,3.5,3.7
32,McDonald,MCD,$187.28 B,"['Restaurant chains', 'Dow jones', 'Food']",3.5,"['12', '6', '12', '0', '6']",3.2,2.9,3.7,3.2,3.5
33,Adobe,ADBE,$182.25 B,"['Software', 'Tech']",4.3,"['360', '247', '74', '21', '19']",4.1,4.2,3.7,3.7,4.1
34,Cisco,CSCO,$179.67 B,"['Tech', 'Electronics', 'Networking hardware', 'Dow jones', 'Telecommunications equipment', 'Tech Hardware']",4.1,"['2.4K', '2.4K', '943', '197', '123']",4.0,4.0,3.4,3.6,3.9
35,Comcast,CMCSA,$179.02 B,"['Telecommunication', 'Media/Press', '']",3.7,"['5.4K', '5.2K', '4K', '1.5K', '1.5K']",3.5,3.9,3.2,3.2,3.5
36,Salesforce,CRM,$174.62 B,"['Software', 'Dow jones', 'Tech']",4.3,"['501', '237', '83', '32', '18']",4.1,4.3,3.9,3.9,4.2
37,Walt Disney,DIS,$174.60 B,"['', 'Dow jones']",4.1,"['1.8K', '1.2K', '661', '200', '153']",3.8,3.7,3.5,3.6,4.0
38,T-Mobile US,TMUS,$170.13 B,['Telecommunication'],3.8,"['1.1K', '951', '609', '198', '229']",3.6,3.5,3.3,3.4,3.7
39,Nike,NKE,$169.85 B,"['Sports goods', 'Footwear', 'Dow jones', 'Clothing']",4.1,"['5K', '3.2K', '1.7K', '462', '329']",3.9,3.8,3.6,3.6,4.1
40,United Parcel Service,UPS,$161.99 B,"['Courier', 'Transportation']",3.7,"['17.1K', '14.1K', '10.5K', '4K', '4.3K']",3.5,3.8,3.5,3.3,3.5
41,Bristol-Myers Squibb,BMY,$160.48 B,"['Pharmaceuticals', 'Biotech']",4.1,"['909', '714', '258', '87', '61']",4.0,4.1,3.5,3.7,3.9
42,Nextera Energy,NEE,$157.65 B,"['Energy', 'Electricity', 'Utility companies', 'Renewable energy']",3.9,"['363', '300', '161', '64', '64']",3.5,3.9,3.5,3.4,3.7
43,Intel,INTC,$155.34 B,"['Semiconductors', 'Tech', 'Dow jones', 'Tech Hardware', 'Manufacturing']",4.1,"['2.4K', '2K', '846', '210', '174']",3.9,4.1,3.6,3.6,3.9
44,QUALCOMM,QCOM,$152.33 B,"['Tech', 'Semiconductors', 'Tech Hardware']",4.1,"['618', '609', '271', '63', '40']",3.8,4.0,3.5,3.5,3.8
45,Wells Fargo,WFC,$152.29 B,"['Banks', 'Financial services']",3.7,"['13.4K', '12.8K', '9.4K', '3.5K', '3.4K']",3.6,3.7,3.4,3.3,3.5
46,AT&T,T,$148.90 B,['Telecommunication'],3.7,"['13.4K', '11.8K', '8.7K', '3.5K', '3.4K']",3.4,4.0,3.2,3.3,3.4
47,Philip Morris,PM,$145.53 B,['Tobacco'],4.2,"['863', '538', '194', '47', '67']",3.9,4.3,3.7,3.7,4.0
48,Texas Instruments,TXN,$143.41 B,"['Semiconductors', 'Tech', 'Tech Hardware']",4.1,"['733', '609', '274', '61', '55']",3.9,4.0,3.6,3.6,3.9
49,Raytheon Technologies,RTX,$141.46 B,"['Aerospace', 'Defense contractors']",3.9,"['1.5K', '1.4K', '758', '237', '224']",3.8,4.0,3.4,3.4,3.6
50,Morgan Stanley,MS,$134.22 B,"['Banks', 'Financial services', 'Investment']",3.8,"['1.6K', '1.5K', '1K', '322', '256']",3.7,3.6,3.3,3.4,3.6
51,Amgen,AMGN,$132.73 B,"['Pharmaceuticals', 'Dow jones', 'Biotech']",4.0,"['707', '530', '263', '86', '65']",3.8,4.1,3.4,3.5,3.7
